word_id,link_index,target_identifier,target_type,target_id
cet4-w-4336a9e7fc5d08328b8e,2,word:enable,word,cet4-w-c87b5d351d670ef64440
cet4-w-4336a9e7fc5d08328b8e,3,word:disable,word,cet4-w-f41aa887a6195a11b2ae
cet4-w-798668299e6f528c3725,0,word:able,word,cet4-w-4336a9e7fc5d08328b8e
cet4-w-798668299e6f528c3725,1,morph:base:en:able:capable,base,cy-morph-4c6d7b4a9dd01fe89b3b
cet4-w-798668299e6f528c3725,2,morph:suffix:la:-ity:abstract_quality,suffix,cy-morph-a89637be8e59c5f9e655
cet4-w-c87b5d351d670ef64440,0,word:able,word,cet4-w-4336a9e7fc5d08328b8e
cet4-w-c87b5d351d670ef64440,1,morph:prefix:fr:en-:make_cause,prefix,cy-morph-d19455253b4c9399cb16
cet4-w-c87b5d351d670ef64440,2,morph:base:en:able:capable,base,cy-morph-4c6d7b4a9dd01fe89b3b
cet4-w-c87b5d351d670ef64440,3,word:disable,word,cet4-w-f41aa887a6195a11b2ae
cet4-w-f41aa887a6195a11b2ae,0,word:able,word,cet4-w-4336a9e7fc5d08328b8e
cet4-w-f41aa887a6195a11b2ae,1,morph:prefix:la:dis-:reverse_remove,prefix,cy-morph-7d7d867b2e5b2f3c7bd2
cet4-w-f41aa887a6195a11b2ae,2,morph:base:en:able:capable,base,cy-morph-4c6d7b4a9dd01fe89b3b
cet4-w-f41aa887a6195a11b2ae,3,word:disabled,word,cet4-w-8bcbba84a7d7eab25b03
cet4-w-8bcbba84a7d7eab25b03,0,word:disable,word,cet4-w-f41aa887a6195a11b2ae
cet4-w-8bcbba84a7d7eab25b03,1,morph:prefix:la:dis-:reverse_remove,prefix,cy-morph-7d7d867b2e5b2f3c7bd2
cet4-w-8bcbba84a7d7eab25b03,2,morph:base:en:able:capable,base,cy-morph-4c6d7b4a9dd01fe89b3b
cet4-w-8bcbba84a7d7eab25b03,3,morph:suffix:en:-ed:resulting_state,suffix,cy-morph-b5b212debb01bfd1a61f
cet4-w-43ac0394e915760d27a8,0,morph:prefix:la:in-:inward,prefix,cy-morph-2ecf73f610f9df9f3d3e
cet4-w-43ac0394e915760d27a8,1,morph:root:la:port:carry,root,cy-morph-9bdded8d81a6fc287342
cet4-w-43ac0394e915760d27a8,2,word:export,word,cet4-w-8c8d138547024805cf9e
cet4-w-8c8d138547024805cf9e,0,morph:prefix:la:ex-:outward,prefix,cy-morph-1bb8ba1376c7167f39bd
cet4-w-8c8d138547024805cf9e,1,morph:root:la:port:carry,root,cy-morph-9bdded8d81a6fc287342
cet4-w-8c8d138547024805cf9e,2,word:import,word,cet4-w-43ac0394e915760d27a8
cet4-w-d3fb2c3206cf3fc68ee3,0,morph:prefix:la:re-:back_again,prefix,cy-morph-01bd709dc1ff1449888b
cet4-w-d3fb2c3206cf3fc68ee3,1,morph:root:la:port:carry,root,cy-morph-9bdded8d81a6fc287342
cet4-w-d3fb2c3206cf3fc68ee3,2,word:import,word,cet4-w-43ac0394e915760d27a8
cet4-w-d3fb2c3206cf3fc68ee3,3,word:export,word,cet4-w-8c8d138547024805cf9e
cet4-w-d3fb2c3206cf3fc68ee3,4,word:transport,word,cet4-w-f51c719af127ab336448
cet4-w-f51c719af127ab336448,0,morph:prefix:la:trans-:across,prefix,cy-morph-b13dccde1ecbcfe37532
cet4-w-f51c719af127ab336448,1,morph:root:la:port:carry,root,cy-morph-9bdded8d81a6fc287342
cet4-w-385010cccc39746e3da1,0,morph:prefix:la:sub-:under_support,prefix,cy-morph-fc3fe402a69511bb4bd3
cet4-w-385010cccc39746e3da1,1,morph:root:la:port:carry,root,cy-morph-9bdded8d81a6fc287342
cet4-w-88452520399cf5c4e49e,0,morph:prefix:la:in-:inward,prefix,cy-morph-2ecf73f610f9df9f3d3e
cet4-w-88452520399cf5c4e49e,1,morph:root:la:spect:look,root,cy-morph-a86088622b3d34d875ea
cet4-w-88452520399cf5c4e49e,2,word:respect,word,cet4-w-9cba42e078093d550bf2
cet4-w-88452520399cf5c4e49e,3,word:expect,word,cet4-w-7b27c3e81299f870cb00
cet4-w-88452520399cf5c4e49e,4,word:prospect,word,cet4-w-f262db840d22de476630
cet4-w-9cba42e078093d550bf2,0,morph:root:la:spect:look,root,cy-morph-a86088622b3d34d875ea
cet4-w-9cba42e078093d550bf2,1,morph:prefix:la:re-:back_again,prefix,cy-morph-01bd709dc1ff1449888b
cet4-w-7b27c3e81299f870cb00,0,morph:prefix:la:ex-:outward,prefix,cy-morph-1bb8ba1376c7167f39bd
cet4-w-7b27c3e81299f870cb00,1,morph:root:la:spect:look,root,cy-morph-a86088622b3d34d875ea
cet4-w-7b27c3e81299f870cb00,2,word:inspect,word,cet4-w-88452520399cf5c4e49e
cet4-w-f262db840d22de476630,0,morph:prefix:la:pro-:forward,prefix,cy-morph-db08910c6a9857416456
cet4-w-f262db840d22de476630,1,morph:root:la:spect:look,root,cy-morph-a86088622b3d34d875ea
cet4-w-196eea6931afa61926c6,0,morph:base:en:air:air,base,cy-morph-c63ee75e3764b25ddff2
cet4-w-196eea6931afa61926c6,1,morph:base:en:port:harbor,base,cy-morph-a91d470e727587a1a514
cet4-w-196eea6931afa61926c6,2,word:report,word,cet4-w-d3fb2c3206cf3fc68ee3
cet4-w-50a30d1bad42f8113242,0,morph:base:en:black:black,base,cy-morph-b2e32edd0451bdcac7aa
cet4-w-50a30d1bad42f8113242,1,morph:base:en:board:flat_board,base,cy-morph-88ef86a0c5a07b2d854d
cet4-w-aef3be74ca48b7eb3d7b,0,morph:base:en:class:class_group,base,cy-morph-987154f3eb654a922cfe
cet4-w-aef3be74ca48b7eb3d7b,1,morph:base:en:room:enclosed_space,base,cy-morph-d90d3f380b289141ab8f
cet4-w-ef0a124f24fcdea9f25a,0,morph:base:en:news:news,base,cy-morph-a689fa0dc887d0ace80e
cet4-w-ef0a124f24fcdea9f25a,1,morph:base:en:paper:paper_publication,base,cy-morph-74678b4f36347647e834
cet4-w-da4d2d00a9e5fb8106e9,0,morph:base:en:well:well_adverb,base,cy-morph-d32c91f3051cb1b11226
cet4-w-da4d2d00a9e5fb8106e9,1,morph:base:en:known:known,base,cy-morph-bb46875421a3971bc86d
cet4-w-eb44a3c9cc92e7b5e517,0,morph:root:la:manu:hand,root,cy-morph-ab408dbcb2eea9c4944c
cet4-w-eb44a3c9cc92e7b5e517,1,morph:root:la:fact:make_do,root,cy-morph-64fa89a5e2bd17deb897
cet4-w-eb44a3c9cc92e7b5e517,2,morph:suffix:la:-ure:result_process_noun,suffix,cy-morph-51d48dda2c8f37be5c8c
cet4-w-7050d50383e85d57962a,0,morph:root:la:agr:field,root,cy-morph-2d415edc745fcf5e4e9c
cet4-w-7050d50383e85d57962a,1,morph:root:la:cult:cultivate,root,cy-morph-5ff3bf62b94a85c239b5
cet4-w-7050d50383e85d57962a,2,morph:suffix:la:-ure:result_process_noun,suffix,cy-morph-51d48dda2c8f37be5c8c
